			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Schutz Feuermagie	Schutz Feuermagie	1	 		x	 	5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Schutz Feuermagie}

Beschützt die ausgewählte Einheit, indem es Schäden durch Feuerzaubersprüche reduziert.
"	"{Schutz Feuermagie einfach}

Beschützt die ausgewählte Einheit, indem es Schäden durch Feuerzaubersprüche reduziert.
"	"{Schutz Feuermagie verbessert}

Beschützt die ausgewählte Einheit, indem es Schäden durch Feuerzaubersprüche reduziert.

Der Schutz ist fast doppelt so stark wie bei 'Schutz Feuermagie einfach'.
"	"{Schutz Feuermagie Meisterhaft}

Beschützt die ausgewählte Einheit, indem es Schäden durch Feuerzaubersprüche reduziert.

Der Schutz ist fast doppelt so stark wie bei 'Schutz Feuermagie einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Schutz Wassermagie	Schutz Wassermagie	1	 	x		 	5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Schutz Wassermagie}

Beschützt die ausgewählte Einheit, indem es Schäden durch Wasserzaubersprüche reduziert.
"	"{Schutz Wassermagie einfach}

Beschützt die ausgewählte Einheit, indem es Schäden durch Wasserzaubersprüche reduziert.
"	"{Schutz Wassermagie verbessert}

Beschützt die ausgewählte Einheit, indem es Schäden durch Wasserzaubersprüche reduziert.

Der Schutz ist fast doppelt so stark wie bei 'Schutz Wassermagie einfach'.
"	"{Schutz Wassermagie Meisterhaft}

Beschützt die ausgewählte Einheit, indem es Schäden durch Wasserzaubersprüche reduziert.

Der Schutz ist fast doppelt so stark wie bei 'Schutz Wassermagie einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Schutz Erdmagie	Schutz Erdmagie	3	x	 	 		12	9	9	9	0	70	70	50	50	4	4	4	2	4	4	4	0	4	2	2	4	4	"{Schutz Erdmagie}

Beschützt die ausgewählte Einheit, indem es Schäden durch Erdzaubersprüche reduziert.
"	"{Schutz Erdmagie einfach}

Beschützt die ausgewählte Einheit, indem es Schäden durch Erdzaubersprüche reduziert.
"	"{Schutz Erdmagie verbessert}

Beschützt die ausgewählte Einheit, indem es Schäden durch Erdzaubersprüche reduziert.

Der Schutz ist fast doppelt so stark wie bei 'Schutz Erdmagie einfach'.
"	"{Schutz Erdmagie Meisterhaft}

Beschützt die ausgewählte Einheit, indem es Schäden durch Erdzaubersprüche reduziert.

Der Schutz ist fast doppelt so stark wie bei 'Schutz Erdmagie einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Anti-Magie	Anti-Magie	3	x	 	 	 	15	12	12	12	0	4	4	5	6	12	8	8	4	8	8	12	10	12	10	10	15	20	"{Anti-Magie}

Beschützt die ausgewählte Einheit vor einfachen Zaubersprüchen.
"	"{Anti-Magie einfach}

Beschützt die ausgewählte Einheit vor einfachen Zaubersprüchen.
"	"{Anti-Magie verbessert}

Beschützt die ausgewählte Einheit vor allen außer den mächtigsten Zaubersprüchen.
"	"{Anti-magie Meisterhaft}

Beschützt die ausgewählte Einheit vor allen Zaubersprüchen.
"	 COMBAT_SPELL|CREATURE_TARGET
Zerstreuen	Zerstreuen	1	 	x	 	 	5	4	4	4	0	0	0	0	0	10	10	10	10	10	10	10	10	10	3	3	3	3	"{Zerstreuen}

Entfernt alle Zauberwirkungen von einer freundlichen Kreatur.
"	"{Zerstreuen einfach}

Entfernt alle Zauberwirkungen von einer freundlichen Kreatur.
"	"{Zerstreuen verbessert}

Entfernt alle Zauberwirkungen von einer freundlich oder feindlich gesinnten Kreatur.
"	"{Zerstreuen Meisterhaft}

Entfernt alle Zauberwirkungen von allen Einheiten auf dem Schlachtfeld.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Magischer Spiegel	Magischer Spiegel	5	 	 	 	x	25	20	20	20	0	20	20	30	40	0	16	14	0	0	12	0	0	13	12	12	18	24	"{Magischer Spiegel}

Reflektiert in 20% der Fälle feindliche Zaubersprüche willkürlich auf eine gegnerische Kreatur.
"	"{Magischer Spiegel einfach}

Reflektiert in 20% der Fälle feindliche Zaubersprüche willkürlich auf eine gegnerische Kreatur.
"	"{Magischer Spiegel verbessert}

Reflektiert in 30% der Fälle feindliche Zaubersprüche willkürlich auf eine gegnerische Kreatur.
"	"{Magischer Spiegel Meisterhaft}

Reflektiert in 40% der Fälle feindliche Zaubersprüche willkürlich auf eine gegnerische Kreatur.
"	 COMBAT_SPELL|CREATURE_TARGET
Heilung	Heilung	1	 	x	 	 	6	5	5	5	5	10	10	20	30	10	10	5	5	0	5	5	10	5	4	4	4	4	"{Heilung}

Enfernt alle negativen Zauberwirkungen und stellt eine kleine Zahl von Trefferpunkten der ausgewählten Einheit wieder her.
"	"{Heilung einfach}

Enfernt alle negativen Zauberwirkungen und stellt eine kleine Zahl von Trefferpunkten der ausgewählten Einheit wieder her.
"	"{Heilung verbessert}

Enfernt alle negativen Zauberwirkungen und stellt eine kleine Zahl von Trefferpunkten bei allen freundlichen Einheiten wieder her.

Der geheilte Schaden beträgt 10 Punkte mehr als bei 'Heilung einfach'.
"	"{Heilung Meisterhaft}

Enfernt alle negativen Zauberwirkungen und stellt eine kleine Zahl von Trefferpunkten bei allen freundlichen Einheiten wieder her.

Der geheilte Schaden beträgt 20 Punkte mehr als bei 'Heilung einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Auferstehung	Auferstehung	4	x	 	 	 	20	16	16	16	50	40	40	80	160	10	10	10	10	10	10	0	0	5	50	50	60	120	"{Auferstehung}

Läßt Einheiten der ausgewählten Gruppe wieder auferstehen, indem eine bestimmte Anzahl Trefferpunkte wiederhergestellt wird.
"	"{Auferstehung einfach}

Läßt Einheiten der ausgewählten Gruppe wieder auferstehen, indem eine bestimmte Anzahl Trefferpunkte wiederhergestellt wird.
"	"{Auferstehung verbessert}

Läßt Einheiten der ausgewählten Gruppe wieder auferstehen, indem eine bestimmte Anzahl Trefferpunkte wiederhergestellt wird.

Stellt 40 Trefferpunkte mehr wieder her als 'Auferstehung einfach'.
"	"{Auferstehung Meisterhaft}

Läßt Einheiten der ausgewählten Gruppe wieder auferstehen, indem eine bestimmte Anzahl Trefferpunkte wiederhergestellt wird. 

Stellt 120 Trefferpunkte mehr wieder her als 'Auferstehung einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET
Tote beleben	Tote beleben	3	x	 	 	 	15	12	12	12	50	30	30	60	160	0	0	0	0	16	0	0	0	0	60	60	60	120	"{Tote beleben}

Belebt zerstörte Untote in der ausgewählten Gruppe wieder, indem eine bestimmte Anzahl Trefferpunkte wiederhergestellt wird.
"	"{Tote beleben einfach}

Belebt zerstörte Untote in der ausgewählten Gruppe wieder, indem eine bestimmte Anzahl Trefferpunkte wiederhergestellt wird.
"	"{Tote beleben verbessert}

Belebt zerstörte Untote in der ausgewählten Gruppe wieder, indem eine bestimmte Anzahl Trefferpunkte wiederhergestellt wird.

Stellt 30 Trefferpunkte mehr wieder her als 'Tote beleben einfach'.
"	"{Tote beleben Meisterhaft}

Belebt zerstörte Untote in der ausgewählten Gruppe wieder, indem eine bestimmte Anzahl Trefferpunkte wiederhergestellt wird.

Stellt 130 Trefferpunkte mehr wieder her als 'Tote beleben einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET
Opfer	Opfer	5	 	 	x	 	25	20	20	20	1	3	3	6	10	0	0	0	20	16	12	0	0	0	1	1	1	1	"{Opfer}

Zerstört eine freundliche Kreaturengruppe, um eine tote auferstehen zu lassen. Die Anzahl der auferstehenden Kreaturen hängt ab von der Zauberkraft des Zaubernden und der Gesundheit der zerstörten Truppe.
"	"{Opfer einfach}

Zerstört eine freundliche Kreaturengruppe, um eine tote auferstehen zu lassen. Die Anzahl der auferstehenden Kreaturen hängt ab von der Zauberkraft des Zaubernden und der Gesundheit der zerstörten Truppe.
"	"{Opfer verbessert}

Zerstört eine freundliche Kreaturengruppe, um eine tote auferstehen zu lassen. Die Anzahl der auferstehenden Kreaturen hängt ab von der Zauberkraft des Zaubernden und der Gesundheit der zerstörten Truppe..

Läßt mehr Kreaturen wieder auferstehen als 'Opfer einfach'.
"	"{Opfer Meisterhaft}

Zerstört eine freundliche Kreaturengruppe, um eine tote auferstehen zu lassen. Die Anzahl der auferstehenden Kreaturen hängt ab von der Zauberkraft des Zaubernden und der Gesundheit der zerstörten Truppe.

Läßt mehr Kreaturen wieder auferstehen als 'Opfer verbessert'.
"	 COMBAT_SPELL|CREATURE_TARGET
Segen	Segen	1	 	x	 	 	5	4	4	4	0	0	0	1	1	10	5	5	0	0	3	3	5	5	10	10	11	11	"{Segen}

Läßt die ausgewählte Einheit im Kampf maximalen Schaden verursachen.
"	"{Segen einfach}

Läßt die ausgewählte Einheit im Kampf maximalen Schaden verursachen.
"	"{Segen verbessert}

Läßt die ausgewählte Einheit im Kampf mehr als den normalen Maximalschaden verursachen.
"	"{Segen Meisterhaft}

Läßt alle freundlichen Einheiten im Kampf mehr als den normalen Maximalschaden verursachen.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Fluch	Fluch	1	 		x	 	6	5	5	5	0	0	0	1	1	0	0	3	5	10	5	0	0	0	10	10	11	11	"{Fluch}

Läßt die ausgewählte gegnerische Einheit im Kampf minimalen Schaden verursachen.
"	"{ Fluch einfach}

Läßt die ausgewählte gegnerische Einheit im Kampf minimalen Schaden verursachen.
"	"{ Fluch verbessert}

Läßt die ausgewählte gegnerische Einheit im Kampf weniger als den normalen Minimalschaden verursachen.
"	"{ Fluch Meisterhaft}

Läßt alle gegnerischen Einheiten im Kampf weniger als ihren normalen Minimalschaden verursachen.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Blutdurst	Blutdurst	1	 	 	x	 	5	4	4	4	0	3	3	6	6	0	0	0	10	5	5	10	5	5	7	7	15	15	"{Blutdurst}

Erhöht den Schaden, den die ausgewählte Einheit im Nahkampf anrichtet.
"	"{Blutdurst einfach}

Erhöht den Schaden, den die ausgewählte Einheit im Nahkampf anrichtet.
"	"{Blutdurst verbessert}

Erhöht den Schaden, den die ausgewählte Einheit im Nahkampf anrichtet.

Hat die doppelte Wirkung von 'Blutdurst einfach'.
"	"{Blutdurst Meisterhaft}

Erhöht den Schaden, den alle freundlichen Einheiten im Nahkampf anrichten.

Hat die doppelte Wirkung von 'Blutdurst einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Präzision	Präzision	2	 	 	 	x	8	6	6	6	0	3	3	6	6	6	6	4	8	2	6	4	4	2	7	7	15	15	"{Präzision}

Erhöht den Schaden, den Fernangriffe der ausgewählten Einheit anrichten.
"	"{Präzision einfach}

Erhöht den Schaden, den Fernangriffe der ausgewählten Einheit anrichten.
"	"{Präzision verbessert}

Erhöht den Schaden, den Fernangriffe der ausgewählten Einheit anrichten.

Hat die doppelte Wirkung von 'Präzision einfach'.
"	"{Präzision Meisterhaft}

Erhöht den Schaden, den Fernangriffe aller freundlichen Einheiten anrichten.

Hat die doppelte Wirkung von 'Präzision einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Schwäche	Schwäche	2	 	x	 	 	8	6	6	6	0	3	3	6	6	2	2	2	8	4	4	4	4	4	7	7	15	15	"{Schwäche}

Reduziert die Angriffsstärke der ausgewählten gegnerischen Einheit.
"	"{Schwäche einfach}

Reduziert die Angriffsstärke der ausgewählten gegnerischen Einheit.
"	"{Schwäche verbessert}

Reduziert die Angriffsstärke der ausgewählten gegnerischen Einheit.

Hat die doppelte Wirkung von 'Schwäche einfach'.
"	"{Schwäche Meisterhaft}

Reduziert die Angriffsstärke aller gegnerischen Einheiten.

Hat die doppelte Wirkung von 'Schwäche einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Steinhaut	Steinhaut	1	x	 	 	 	5	4	4	4	0	3	3	6	6	5	5	10	5	10	5	10	5	5	7	7	15	15	"{Steinhaut}

Erhöht die Verteidigungsstärke der ausgewählten Einheit.
"	"{Steinhaut einfach}

Erhöht die Verteidigungsstärke der ausgewählten Einheit.
"	"{Steinhaut verbessert}

Erhöht die Verteidigungsstärke der ausgewählten Einheit.

Hat die doppelte Wirkung von 'Steinhaut einfach'.
"	"{Steinhaut Meisterhaft}

Erhöht die Verteidigungsstärke aller freundlichen Einheiten.

Hat die doppelte Wirkung von 'Steinhaut einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Zertrümmern	Zertrümmern	2	 	 	 	x	10	8	8	8	0	3	3	4	5	6	4	6	12	4	6	6	6	8	7	7	15	15	"{Zertrümmern}

Reduziert die Verteidigungsstärke der ausgewählten gegnerischen Einheit. Dieser Zauber kann mehrmals auf einen einzelnen Gegner gerichtet werden.
"	"{Zertrümmern einfach}

Reduziert die Verteidigungsstärke der ausgewählten gegnerischen Einheit. Dieser Zauber kann mehrmals auf einen einzelnen Gegner gerichtet werden.
"	"{Zertrümmern verbessert}

Reduziert die Verteidigungsstärke der ausgewählten gegnerischen Einheit. Dieser Zauber kann mehrmals auf einen einzelnen Gegner gerichtet werden.

Die Wirkung ist größer als bei 'Zertrümmern einfach'.
"	"{Zertrümmern Meisterhaft}

Reduziert die Verteidigungsstärke der ausgewählten gegnerischen Einheit. Dieser Zauber kann mehrmals auf einen einzelnen Gegner gerichtet werden.

Die Wirkung ist größer als bei 'Zertrümmern verbessert'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Gebet	Gebet	4	 	x	 	 	16	12	12	12	0	2	2	4	4	10	5	5	0	0	0	0	0	5	8	8	16	16	"{Gebet}

Gibt der ausgewählten Einheit einen Bonus auf Angriffsstärke, Verteidigungsstärke und Geschwindigkeit.
"	"{Gebet einfach}

Gibt der ausgewählten Einheit einen Bonus auf Angriffsstärke, Verteidigungsstärke und Geschwindigkeit.
"	"{Gebet verbessert}

Gibt der ausgewählten Einheit einen Bonus auf Angriffsstärke, Verteidigungsstärke und Geschwindigkeit.

Hat die doppelte Wirkung von 'Gebet einfach'.
"	"{Gebet Meisterhaft}

Gibt allen freundlichen Einheiten einen Bonus auf Angriffsstärke, Verteidigungsstärke und Geschwindigkeit.

Hat die doppelte Wirkung von 'Gebet einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Freude	Freude	3	 	x	 	 	12	9	9	9	0	1	1	2	2	4	4	4	2	4	4	12	2	4	1	1	2	2	"{Freude}

Erhöht die Moral der ausgewählten Einheit.
"	"{Freude einfach}

Erhöht die Moral der ausgewählten Einheit.
"	"{Freude verbessert}

Erhöht die Moral der ausgewählten Einheit.

Hat die doppelte Wirkung von 'Freude einfach'.
"	"{Freude Meisterhaft}

Erhöht die Moral aller freundlichen Einheiten.

Hat die doppelte Wirkung von 'Freude einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Sorge	Sorge	4	x	 	 	 	16	12	12	12	0	1	1	2	2	5	5	5	5	5	5	0	0	5	1	1	2	2	"{Sorge}

Reduziert die Moral der ausgewählten gegnerischen Einheit.
"	"{Sorge einfach}

Reduziert die Moral der ausgewählten gegnerischen Einheit.
"	"{Sorge verbessert}

Reduziert die Moral der ausgewählten gegnerischen Einheit.

Hat die doppelte Wirkung von 'Sorge einfach'.
"	"{Sorge Meisterhaft}

Reduziert die Moral aller gegnerischen Einheiten.

Hat die doppelte Wirkung von 'Sorge einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Fortuna	Fortuna	2	 	 	 	x	7	5	5	5	0	1	1	2	2	4	6	4	4	2	2	4	4	2	1	1	2	2	"{Fortuna}

Erhöht das Glück der ausgewählten Einheit.
"	"{Fortuna einfach}

Erhöht das Glück der ausgewählten Einheit.
"	"{Fortuna verbessert}

Erhöht das Glück der ausgewählten Einheit.

Hat die doppelte Wirkung von 'Fortuna einfach'.
"	"{Fortuna Meisterhaft}

Erhöht das Glück aller freundlichen Einheiten.

Hat die doppelte Wirkung von 'Fortuna einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Unglück	Unglück	3	 	 	x	 	12	9	9	9	0	1	1	2	2	4	4	4	6	8	4	4	2	4	1	1	2	2	"{Unglück}

Reduziert das Glück der ausgewählten Einheit.
"	"{Unglück einfach}

Reduziert das Glück der ausgewählten Einheit.

Kostet nur die Hälfte der Zauberpunkte von Unglück normal.
"	"{Unglück verbessert}

Reduziert das Glück der ausgewählten Einheit.

Hat die doppelte Wirkung von 'Unglück einfach'.
"	"{Unglück Meisterhaft}

Reduziert das Glück aller ausgewählten Einheiten.

Hat die doppelte Wirkung von 'Unglück einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Eile	Eile	1		 	 	x	6	5	5	5	0	3	3	5	5	5	10	5	5	5	10	5	10	10	5	5	10	10	"{Eile}

Erhöht die Geschwindigkeit der ausgewählten Einheit.
"	"{Eile einfach}

Erhöht die Geschwindigkeit der ausgewählten Einheit.
"	"{Eile verbessert}

Erhöht die Geschwindigkeit der ausgewählten Einheit.

Hat fast die doppelte Wirkung von 'Eile einfach'.
"	"{Eile Meisterhaft}

Erhöht die Geschwindigkeit aller freundlichen Einheiten.

Hat fast die doppelte Wirkung von 'Eile einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Verlangsamung	Verlangsamung	1	x	 	 	 	6	5	5	5	0	75	75	50	50	5	10	10	10	5	5	5	5	10	5	5	15	15	"{Verlangsamung}

Reduziert die Geschwindigkeit der ausgewählten gegnerischen Einheit.
"	"{Verlangsamung einfach}

Reduziert die Geschwindigkeit der ausgewählten gegnerischen Einheit.
"	"{Verlangsamung verbessert}

Reduziert die Geschwindigkeit der ausgewählten gegnerischen Einheit.

Hat die doppelte Wirkung von 'Verlangsamung einfach'.
"	"{Verlangsamung Meisterhaft}

Reduziert die Geschwindigkeit aller gegnerischen Einheiten.

Hat die doppelte Wirkung von 'Verlangsamung einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Drachentöter	Drachentöter	4	 		x	 	16	12	12	12	0	8	8	8	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{Drachentöter}

Erhöht den Schaden, den eine Einheit im Kampf gegen Drachen, Behemoths und Hydren anrichtet.
"	"{Drachentöter einfach}

Erhöht den Schaden, den eine Einheit im Kampf gegen Drachen, Behemoths und Hydren anrichtet.
"	"{Drachentöter verbessert}

Erhöht den Schaden, den eine Einheit im Kampf gegen Drachen, Behemoths, Hydren, Teufel und Engel anrichtet.
"	"{Drachentöter Meisterhaft}

Erhöht den Schaden, den eine Einheit im Kampf gegen Drachen, Behemoths, Hydren, Teufel, Engel und Titanen anrichtet.
"	 COMBAT_SPELL|CREATURE_TARGET
Wahnsinn	Wahnsinn	4	 	 	x	 	16	12	12	12	0	100	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{Wahnsinn}

Die ausgewählte Truppe senkt absichtlich ihre Verteidigung, um die Wildheit ihres Angriffs zu erhöhen.
"	"{Wahnsinn einfach}

Die ausgewählte Truppe senkt absichtlich ihre Verteidigung, um die Wildheit ihres Angriffs zu erhöhen.
"	"{Wahnsinn verbessert}

Die ausgewählte Truppe senkt absichtlich ihre Verteidigung, um die Wildheit ihres Angriffs zu erhöhen.

Angriffsbonus ist 50% höher als bei 'Wahnsinn einfach'.
"	"{Wahnsinn Meisterhaft}

Die ausgewählte Truppe senkt absichtlich ihre Verteidigung, um die Wildheit ihres Angriffs zu erhöhen.

Angriffsbonus ist doppelt so hoch wie 'Wahnsinn einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Furcht ( disabled )	Furcht ( disabled )	4	 	 	 	 	16	8	8	8	0	75	75	50	25	0	0	0	0	0	0	0	0	0	50	50	50	50	"{Furcht}

Belegt eine gegnerische Einheit mit solcher Furcht, daß sie nicht mehr angreifen und sich kaum noch bewegen kann.
"	"{Furcht einfach}

Belegt eine gegnerische Einheit mit solcher Furcht, daß sie nicht mehr angreifen und sich kaum noch bewegen kann.

Kostet die Hälfte der  Zauberpunkte von 'Furcht normal'.
"	"{Furcht verbessert}

Belegt eine gegnerische Einheit mit solcher Furcht, daß sie nicht mehr angreifen und sich kaum noch bewegen kann.

Der Abzug auf Bewegung ist doppelt so hoch wie bei 'Furcht einfach'.
"	"{Furcht Meisterhaft}

Belegt eine gegnerische Einheit mit solcher Furcht, daß sie nicht mehr angreifen und sich kaum noch bewegen kann.

Der Abzug auf Bewegung ist dreimal so hoch wie bei 'Furcht einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Gegenschlag	Gegenschlag	4	 	 	 	x	24	20	20	20	0	1	1	2	2	5	10	5	5	5	5	0	0	5	20	20	30	30	"{Gegenschlag}

Die ausgewählte Einheit kann sich einmal mehr pro Runde wehren.
"	"{Gegenschlag einfach}

Die ausgewählte Einheit kann sich einmal mehr pro Runde wehren.
"	"{Gegenschlag verbessert}

Die ausgewählte Einheit kann sich zwei mal mehr pro Runde wehren.
"	"{Gegenschlag Meisterhaft}

Alle freundlichen Einheiten können sich zwei mal mehr pro Runde wehren.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Berserker	Berserker	4	 	 	x	 	20	16	16	16	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{Berserker)

Die anvisierte Einheit greift willkürlich die nächststehende Einheit an, ob Freund oder Feind.
"	"{Berserker einfach)

Die anvisierte Einheit greift willkürlich die nächststehende Einheit an, ob Freund oder Feind.
"	"{Berserker verbessert)

Die anvisierte Einheit greift willkürlich die nächststehende Einheit an, ob Freund oder Feind.

Wirkungskreis ist sechs Felder größer als 'Berserker einfach'.
"	"{Berserker Meisterhaft)

Die anvisierte Einheit greift willkürlich die nächststehende Einheit an, ob Freund oder Feind.

Wirkungskreis ist achtzehn Felder größer als 'Berserker einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Hypnose	Hypnose	3	 	 	 	x	18	15	15	15	25	10	10	20	50	4	4	8	6	0	8	4	4	12	25	25	50	100	"{Hypnose}

Gibt Euch vorübergehend die Kontrolle über eine gegnerische Einheit.
"	"{Hypnose einfach}

Gibt Euch vorübergehend die Kontrolle über eine gegnerische Einheit.
"	"{Hypnose verbessert}

Gibt Euch vorübergehend die Kontrolle über eine gegnerische Einheit.

Erlaubt die Kontrolle über Kreaturen mit 10 Trefferpunkten mehr als 'Hypnose einfach'.
"	"{Hypnose Meisterhaft}

Gibt Euch vorübergehend die Kontrolle über eine gegnerische Einheit.

Erlaubt die Kontrolle über Kreaturen mit 40 Trefferpunkten mehr als 'Hypnose einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Vergeßlichkeit	Vergeßlichkeit	3	 	x	 	 	12	9	9	9	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{Vergeßlichkeit}

Die Hälfte der ausgewählten gegnerischen Truppe vergißt, ihre Fernangriffe zu nutzen.
"	"{Vergeßlichkeit einfach}

Die Hälfte der ausgewählten gegnerischen Truppe vergißt, ihre Fernangriffe zu nutzen.
"	"{Vergeßlichkeit verbessert}

Die ausgewählte gegnerische Truppe vergißt, ihre Fernangriffe im Kampf zu nutzen.
"	"{Vergeßlichkeit Meisterhaft}

Alle gegnerischen Truppen vergessen, ihre Fernangriffe im Kampf zu nutzen.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Blenden	Blenden	2	 	 	x	 	10	8	8	8	0	50	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{Blenden}

Blendet eine Kreatur, so daß sie sich nicht bewegen kann und nur mit der Hälfte ihrer Stärke zurückschlägt. Die Blindheit bleibt, bis die Einheit angegriffen oder der Zauber zerstreut wird.
"	"{Blenden einfach}

Blendet eine Kreatur, so daß sie sich nicht bewegen kann und nur mit der Hälfte ihrer Stärke zurückschlägt. Die Blindheit bleibt, bis die Einheit angegriffen oder der Zauber zerstreut wird.
"	"{Blenden verbessert}

Blendet eine Kreatur, so daß sie sich nicht bewegen kann und nur mit einem Viertel ihrer Stärke zurückschlägt. Die Blindheit bleibt, bis die Einheit angegriffen oder der Zauber zerstreut wird.
"	"{Blenden Meisterhaft}

Blendet eine Kreatur, so daß sie sich nicht bewegen oder zurückschlagen kann. Die Blindheit bleibt, bis die Einheit angegriffen oder der Zauber zerstreut wird.
"	 COMBAT_SPELL|CREATURE_TARGET
Teleport	Teleport	3	 	x	 	 	15	12	6	3	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{Teleport}

Teleportiert eine beliebige freundliche Einheit auf einen unbesetzten Ort auf dem Schlachtfeld.
"	"{Teleport einfach}

Teleportiert eine beliebige freundliche Einheit auf einen unbesetzten Ort auf dem Schlachtfeld.

Truppe kann nicht über Wassergräben oder Wände teleportieren.
"	"{Teleport verbessert}

Teleportiert eine beliebige freundliche Einheit auf einen unbesetzten Ort auf dem Schlachtfeld.

Truppe kann nicht über Wände teleportieren.
"	"{Teleport Meisterhaft}

Teleportiert eine beliebige freundliche Einheit auf einen unbesetzten Ort auf dem Schlachtfeld.
"	 COMBAT_SPELL|CREATURE_TARGET
Hindernis beseitigen	Hindernis beseitigen	2	 	x	 	 	7	5	5	5	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{Hindernis beseitigen}

Beseitigt ein normales Hindernis (Bäume, Steine usw.) vom Schlachtfeld.
"	"{Hindernis beseitigen einfach}

Beseitigt ein normales Hindernis (Bäume, Steine usw.) vom Schlachtfeld.
"	"{Hindernis beseitigen verbessert}

Beseitigt ein normales Hindernis (Bäume, Steine usw.) oder eine Feuerwand vom Schlachtfeld.
"	"{Hindernis beseitigen Meisterhaft}

Beseitigt ein normales oder magisches Hindernis (Bäume, Steine usw.) vom Schlachtfeld.
"	 COMBAT_SPELL|OBSTACLE_TARGET
Klonen	Klonen	4	 	x	 	 	24	20	20	20	0	5	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{Klonen}

Erschafft ein Duplikat des ausgewählten Truppenteils. Das Bild wird bei Angriff zerstört.

Klont Kreaturen der Stufen 1-5.
"	"{Klonen einfach}

Erschafft ein Duplikat des ausgewählten Truppenteils. Das Bild wird bei Angriff zerstört.

Klont Kreaturen der Stufen 1-5.
"	"{Klonen verbessert}

Erschafft ein Duplikat des ausgewählten Truppenteils. Das Bild wird bei Angriff zerstört.

Klont Kreaturen der Stufen 1-6.
"	"{Klonen Meisterhaft}

Erschafft ein Duplikat des ausgewählten Truppenteils. Das Bild wird bei Angriff zerstört.

Klont Kreaturen aller Stufen.
"	 COMBAT_SPELL|CREATURE_TARGET
Feuerwesen	Feuerwesen	5			x		25	20	20	20	0	2	2	3	4	0	0	0	16	0	12	0	0	12	50	50	100	150	"{Feuerwesen}

Läßt Euch Feuerwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.
"	"{Feuerwesen einfach}

Läßt Euch Feuerwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.
"	"{Feuerwesen verbessert}

Läßt Euch Feuerwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.

Erschafft etwa anderthalb mal so viele Einheiten wie 'Feuerwesen herbeirufen einfach'.
"	"{Feuerwesen Meisterhaft}

Läßt Euch Feuerwesen herbeirufen. Nach diesem Zauber dürfen keine Wesen anderer Elemente gerufen werden.

Erschafft etwa doppelt so viele Einheiten wie 'Feuerwesen herbeirufen einfach'.
"	 COMBAT_SPELL
