			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Cure	Cure	1	 	x	 	 	6	5	5	5	5	10	10	20	30	10	10	5	5	0	5	5	10	5	4	4	4	4	"{Cure}

Removes all negative spells and effects except Disrupting Ray and dendroid binding and heals (Spell Power x 5 + 10) hit points on the selected friendly unit. Restores health decremented with poison.
"	"{Basic Cure}

Removes all negative spells and effects except Disrupting Ray and dendroid binding and heals (Spell Power x 5 + 10) hit points on the selected friendly unit. Restores health decremented with poison.
"	"{Advanced Cure}

Removes all negative spells and effects except Disrupting Ray and dendroid binding and heals (Spell Power x 5 + 20) hit points on the selected friendly unit. Restores health decremented with poison.
"	"{Expert Cure}

Removes all negative spells and effects except Disrupting Ray and dendroid binding and heals (Spell Power x 5 + 30) hit points on all friendly units. Restores health decremented with poison.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Resurrection	Resurrection	4	x	 	 	 	20	16	16	16	50	40	40	80	160	10	10	10	10	10	10	0	0	5	50	50	60	120	"{Resurrection}

Resurrects units in the selected friendly group of living creatures until the end of the battle by restoring (Spell Power x 50 + 40) hit points to the target.
"	"{Basic Resurrection}

Resurrects units in the selected friendly group of living creatures until the end of the battle by restoring (Spell Power x 50 + 40) hit points to the target.
"	"{Advanced Resurrection}

Resurrects units in the selected friendly group of living creatures permanently by restoring (Spell Power x 50 + 80) hit points to the target.
"	"{Expert Resurrection}

Resurrects units in the selected friendly group of living creatures permanently by restoring (Spell Power x 50 + 160) hit points to the target.
"	 COMBAT_SPELL|CREATURE_TARGET
Animate Dead	Animate Dead	3	x	 	 	 	15	12	12	12	50	30	30	60	160	0	0	0	0	16	0	0	0	0	60	60	60	120	"{Animate Dead}

Re-animates any destroyed undead in the selected friendly group by restoring (Spell Power x 50 + 30) hit points to the target.
"	"{Basic Animate Dead}

Re-animates any destroyed undead in the selected friendly group by restoring (Spell Power x 50 + 30) hit points to the target.
"	"{Advanced Animate Dead}

Re-animates any destroyed undead in the selected friendly group by restoring (Spell Power x 50 + 60) hit points to the target.
"	"{Expert Animate Dead}

Re-animates any destroyed undead in the selected friendly group by restoring (Spell Power x 50 + 160) hit points to the target.
"	 COMBAT_SPELL|CREATURE_TARGET
Sacrifice	Sacrifice	5	 	 	x	 	25	20	20	20	1	3	3	6	10	0	0	0	20	16	12	0	0	0	1	1	1	1	"{Sacrifice}

Permanently destroys a friendly living creature group in order to resurrect another friendly living creature group.  Resurrection power is ((Spell Power + Sacrificed Troop's Creature Base Health + 3) x Number of Creatures Sacrificed) hit points.
"	"{Basic Sacrifice}

Permanently destroys a friendly living creature group in order to resurrect another friendly living creature group.  Resurrection power is ((Spell Power + Sacrificed Troop's Creature Base Health + 3) x Number of Creatures Sacrificed) hit points.
"	"{Advanced Sacrifice}

Permanently destroys a friendly living creature group in order to resurrect another friendly living creature group.  Resurrection power is ((Spell Power + Sacrificed Troop's Creature Base Health + 6) x Number of Creatures Sacrificed) hit points.
"	"{Expert Sacrifice}

Permanently destroys a friendly living creature group in order to resurrect another friendly living creature group.  Resurrection power is ((Spell Power + Sacrificed Troop's Creature Base Health + 10) x Number of Creatures Sacrificed) hit points.
"	 COMBAT_SPELL|CREATURE_TARGET
Bless	Bless	1	 	x	 	 	5	4	4	4	0	0	0	1	1	10	5	5	0	0	3	3	5	5	10	10	11	11	"{Bless}

Causes the selected friendly unit to inflict maximum damage in combat. Removes Curse effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Bless}

Causes the selected friendly unit to inflict maximum damage in combat. Removes Curse effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Bless}

Causes the selected friendly unit to inflict damage, greater than their normal maximum damage in combat by 1. Removes Curse effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Bless}

Causes all friendly units to inflict damage, greater than their normal maximum damage in combat by 1. Removes Curse effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Curse	Curse	1	 		x	 	6	5	5	5	0	0	0	1	1	0	0	3	5	10	5	0	0	0	10	10	11	11	"{Curse}

Causes the selected enemy unit to inflict minimum damage in combat. Removes Bless effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Curse}

Causes the selected enemy unit to inflict minimum damage in combat. Removes Bless effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Curse}

Causes the selected enemy unit to inflict damage, less than their normal minimum damage in combat by 1. Removes Bless effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Curse}

Causes all enemy units to inflict damage, less than their normal minimum damage in combat by 1. Removes Bless effect. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Bloodlust	Bloodlust	1	 	 	x	 	5	4	4	4	0	3	3	6	6	0	0	0	10	5	5	10	5	5	7	7	15	15	"{Bloodlust}

Increases the hand-to-hand attack strength of the selected friendly unit by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Bloodlust}

Increases the hand-to-hand attack strength of the selected friendly unit by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Bloodlust}

Increases the hand-to-hand attack strength of the selected friendly unit by 6. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Bloodlust}

Increases the hand-to-hand attack strength of all friendly units by 6. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Precision	Precision	2	 	 	 	x	8	6	6	6	0	3	3	6	6	6	6	4	8	2	6	4	4	2	7	7	15	15	"{Precision}

Increases the attack strength of the selected friendly unit ranged attack by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Precision}

Increases the attack strength of the selected friendly unit ranged attack by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Precision}

Increases the attack strength of the selected friendly unit ranged attack by 6. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Precision}

Increases the attack strength of any friendly units ranged attack by 6. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Weakness	Weakness	2	 	x	 	 	8	6	6	6	0	3	3	6	6	2	2	2	8	4	4	4	4	4	7	7	15	15	"{Weakness}

Reduces the selected enemy unit's attack strength by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Weakness}

Reduces the selected enemy unit's attack strength by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Weakness}

Reduces the selected enemy unit's attack strength by 6. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Weakness}

Reduces the attack strength of all enemy units by 6. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Stone Skin	Stone Skin	1	x	 	 	 	5	4	4	4	0	3	3	6	6	5	5	10	5	10	5	10	5	5	7	7	15	15	"{Stone Skin}

Increases the selected friendly unit's defense strength by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Stone Skin}

Increases the selected friendly unit's defense strength by 3. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Stone Skin}

Increases the selected friendly unit's defense strength by 6. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Stone Skin}

Increases the defense strength of all friendly units by 6. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Disrupting Ray	Disrupting Ray	2	 	 	 	x	10	8	8	8	0	3	3	4	5	6	4	6	12	4	6	6	6	8	7	7	15	15	"{Disrupting Ray}

Reduces the selected enemy unit's defense strength by 3.  A single enemy may be targeted multiple times by this spell. Undispellable. The effect persists through death and resurrection of a unit. Disrupting Ray duration is unlimited.
"	"{Basic Disrupting Ray}

Reduces the selected enemy unit's defense strength by 3.  A single enemy may be targeted multiple times by this spell. Undispellable. The effect persists through death and resurrection of a unit. Disrupting Ray duration is unlimited.
"	"{Advanced Disrupting Ray}

Reduces the selected enemy unit's defense strength by 4.  A single enemy may be targeted multiple times by this spell. Undispellable. The effect persists through death and resurrection of a unit. Disrupting Ray duration is unlimited.
"	"{Expert Disrupting Ray}

Reduces the selected enemy unit's defense strength by 5.  A single enemy may be targeted multiple times by this spell. Undispellable. The effect persists through death and resurrection of a unit. Disrupting Ray duration is unlimited.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Prayer	Prayer	4	 	x	 	 	16	12	12	12	0	2	2	4	4	10	5	5	0	0	0	0	0	5	8	8	16	16	"{Prayer}

Bestows a +2 bonus to the attack strength, defense strength and speed of the selected friendly unit. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Prayer}

Bestows a +2 bonus to the attack strength, defense strength and speed of the selected friendly unit. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Prayer}

Bestows a +4 bonus to the attack strength, defense strength and speed of the selected friendly unit. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Prayer}

Bestows a +4 bonus to the attack strength, defense strength and speed of all friendly units. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Mirth	Mirth	3	 	x	 	 	12	9	9	9	0	1	1	2	2	4	4	4	2	4	4	12	2	4	1	1	2	2	"{Mirth}

Mind spell. Increases the selected friendly unit's morale by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Mirth}

Mind spell. Increases the selected friendly unit's morale by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Mirth}

Mind spell. Increases the selected friendly unit's morale by 2. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Mirth}

Mind spell. Increases the morale of all friendly units by 2. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Sorrow	Sorrow	4	x	 	 	 	16	12	12	12	0	1	1	2	2	5	5	5	5	5	5	0	0	5	1	1	2	2	"{Sorrow}

Mind spell. Reduces the morale of the selected enemy unit by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Sorrow}

Mind spell. Reduces the morale of the selected enemy unit by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Sorrow}

Mind spell. Reduces the morale of the selected enemy unit by 2. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Sorrow}

Mind spell. Reduces the morale of all enemy units by 2. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Fortune	Fortune	2	 	 	 	x	7	5	5	5	0	1	1	2	2	4	6	4	4	2	2	4	4	2	1	1	2	2	"{Fortune}

Increases the selected friendly unit's luck by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Fortune}

Increases the selected friendly unit's luck by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Fortune}

Increases the selected friendly unit's luck by 2. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Fortune}

Increases the luck of all friendly units by 2. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Misfortune	Misfortune	3	 	 	x	 	12	9	9	9	0	1	1	2	2	4	4	4	6	8	4	4	2	4	1	1	2	2	"{Misfortune}

Reduces the luck of the selected enemy unit by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Misfortune}

Reduces the luck of the selected enemy unit by 1. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Misfortune}

Reduces the luck of the selected enemy unit by 2. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Misfortune}

Reduces the luck of all enemy units by 2. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Haste	Haste	1		 	 	x	6	5	5	5	0	3	3	5	5	5	10	5	5	5	10	5	10	10	5	5	10	10	"{Haste}

Increases the speed of the selected friendly unit by 3. Removes Slow effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Haste}

Increases the speed of the selected friendly unit by 3. Removes Slow effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Haste}

Increases the speed of the selected friendly unit by 5. Removes Slow effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Haste}

Increases the speed of all friendly units by 5. Removes Slow effect. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Slow	Slow	1	x	 	 	 	6	5	5	5	0	75	75	50	50	5	10	10	10	5	5	5	5	10	5	5	15	15	"{Slow}

Reduces the speed of the selected enemy unit by 25%. Removes Haste effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Slow}

Reduces the speed of the selected enemy unit by the formula (old speed x 0.75). Removes Haste effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Slow}

Reduces the speed of the selected enemy unit by the formula (old speed x 0.5 + 1). Removes Haste effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Slow}

Reduces the speed of all enemy units by the formula (old speed x 0.5 + 1). Removes Haste effect. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Slayer	Slayer	4	 		x	 	16	12	12	12	0	8	8	8	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{Slayer}

Increases the selected friendly unit's attack strength against Dragons, Behemoths, Hydras, Firebirds and Sea Serpents by 8. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Slayer}

Increases the selected friendly unit's attack strength against Dragons, Behemoths, Hydras, Firebirds and Sea Serpents by 8. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Slayer}

Increases the selected friendly unit's attack strength against Dragons, Behemoths, Hydras, Firebirds, Sea Serpents, Devils and Angels by 8. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Slayer}

Increases the selected friendly unit's attack strength against Dragons, Behemoths, Hydras, Firebirds, Sea Serpents, Devils, Angels and Titans by 8. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET
Frenzy	Frenzy	4	 	 	x	 	16	12	12	12	0	100	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{Frenzy}

Mind spell. Selected friendly troop intentionally lowers its defenses to 0 to increase the ferocity of its attack. Bonus to attack strength is equal to unit’s former defense. The spell takes effect immediately and lasts until the closest creature turn. After that, the spell effect until the next creature turn.
"	"{Basic Frenzy}

Mind spell. Selected friendly troop intentionally lowers its defenses to 0 to increase the ferocity of its attack. Bonus to attack strength is equal to unit’s former defense. The spell takes effect immediately and lasts until the closest creature turn. After that, the spell effect until the next creature turn.
"	"{Advanced Frenzy}

Mind spell. Selected friendly troop intentionally lowers its defenses to 0 to increase the ferocity of its attack. Bonus to attack strength is 1.5 times more than unit’s former defense. The spell takes effect immediately and lasts until the closest creature turn. After that, the spell effect until the next creature turn.
"	"{Expert Frenzy}

Mind spell. Selected friendly troop intentionally lowers its defenses to 0 to increase the ferocity of its attack. Bonus to attack strength is 2 times more than unit’s former defense. The spell takes effect immediately and lasts until the closest creature turn. After that, the spell effect until the next creature turn.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Titan's Lightning Bolt	Titan's Bolt	5				x	0	0	0	0	0	600	600	600	600	0	0	0	0	0	0	0	0	0	75	75	75	75	"{Titan's Lightning Bolt}

Does 600 points of damage to selected enemy unit at no spell cost to the spellcaster.
"	"{Titan's Lightning Bolt}

Does 600 points of damage to selected enemy unit at no spell cost to the spellcaster.
"	"{Titan's Lightning Bolt}

Does 600 points of damage to selected enemy unit at no spell cost to the spellcaster.
"	"{Titan's Lightning Bolt}

Does 600 points of damage to selected enemy unit at no spell cost to the spellcaster.
"	
Counterstrike	Counterstrike	4	 	 	 	x	24	20	20	20	0	1	1	2	2	5	10	5	5	5	5	0	0	5	20	20	30	30	"{Counterstrike}

The selected friendly unit will retaliate against one additional attack each round. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Counterstrike}

The selected friendly unit will retaliate against one additional attack each round. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Counterstrike}

The selected friendly unit will retaliate against two additional attacks each round. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Counterstrike}

All friendly units will retaliate against two additional attacks each round. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Berserk	Berserk	4	 	 	x	 	20	16	16	16	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{Berserk}

Mind spell. The targeted unit will randomly attack the nearest unit, be it friend or foe. Hypnotize effect is dispelled from target. Spell effect is valid until target make an attack, otherwise Berserk duration is unlimited.
"	"{Basic Berserk}

Mind spell. The targeted unit will randomly attack the nearest unit, be it friend or foe. Hypnotize effect is dispelled from target. Spell effect is valid until target make an attack, otherwise Berserk duration is unlimited.
"	"{Advanced Berserk}

Mind spell. The targeted unit as well as units adjacent to the target location will randomly attack the nearest units, be they friends or foes. Hypnotize effect is dispelled from targets. Spell effect is valid until target make an attack, otherwise Berserk duration is unlimited.
"	"{Expert Berserk}

Mind spell. The targeted unit as well as any units 1 and 2 hexes away from target location will randomly attack the nearest units, be they friends or foes. Hypnotize effect is dispelled from targets. Spell effect is valid until target make an attack, otherwise Berserk duration is unlimited.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Hypnotize	Hypnotize	3	 	 	 	x	18	15	15	15	25	10	10	20	50	4	4	8	6	0	8	4	4	12	25	25	50	100	"{Hypnotize}

Mind spell. Puts the selected enemy unit of not more than (Spell Power x 25 + 10) Health temporarily under your control. Removes Berserk effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Hypnotize}

Mind spell. Puts the selected enemy unit of not more than (Spell Power x 25 + 10) Health temporarily under your control. Removes Berserk effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Hypnotize}

Mind spell. Puts the selected enemy unit of not more than (Spell Power x 25 + 20) Health temporarily under your control. Removes Berserk effect. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Hypnotize}

Mind spell. Puts the selected enemy unit of not more than (Spell Power x 25 + 50) Health temporarily under your control. Removes Berserk effect. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Forgetfulness	Forgetfulness	3	 	x	 	 	12	9	9	9	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{Forgetfulness}

Mind spell. Half of the selected enemy ranged unit forgets to use its attack. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Forgetfulness}

Mind spell. Half of the selected enemy ranged unit forgets to use its attack. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Forgetfulness}

Mind spell. Causes the selected enemy ranged unit to forget to use its ranged attack in combat. Half of unit also forget to use hand-to-hand attack. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Forgetfulness}

Mind spell. Causes all enemy ranged troops to forget to use their ranged attack in combat. Half of each unit also forget to use hand-to-hand attack. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Blind	Blind	2	 	 	x	 	10	8	8	8	0	50	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{Blind}

Mind spell. Temporary blinds the selected enemy unit so that it cannot move and causes it to counterattack at half its normal damage.  Blindness persists until the unit is attacked or dispelled. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Blind}

Mind spell. Temporary blinds the selected enemy unit so that it cannot move and causes it to counterattack at half its normal damage.  Blindness persists until the unit is attacked or dispelled. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Blind}

Mind spell. Temporary blinds the selected enemy unit so that it cannot move and causes it to counterattack at one-quarter of its normal damage.  Blindness persists until the unit is attacked or dispelled. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Blind}

Mind spell. Temporary blinds the selected enemy unit so that it cannot move or counterattack.  Blindness persists until the unit is attacked or dispelled. Does not affect undead. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET
Teleport	Teleport	3	 	x	 	 	15	12	6	3	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{Teleport}

Teleports any friendly unit to any unoccupied spot on the battlefield. Removes dendroid binding effect.

Troop cannot teleport over walls or moats.
"	"{Basic Teleport}

Teleports any friendly unit to an unoccupied spot on the battlefield. Removes dendroid binding effect.

Troop cannot teleport over walls or moats.
"	"{Advanced Teleport}

Teleports any friendly unit to an unoccupied spot on the battlefield. Removes dendroid binding effect.

Troop cannot teleport over walls.
"	"{Expert Teleport}

Teleports any friendly unit to any unoccupied spot on the battlefield. Removes dendroid binding effect.
"	 COMBAT_SPELL|CREATURE_TARGET
Remove Obstacle	Remove Obstacle	2	 	x	 	 	7	5	5	5	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{Remove Obstacle}

Removes any normal non-integrated obstacle (trees, rocks, etc.) of the caster's choice from the battlefield.
"	"{Basic Remove Obstacle}

Removes any normal non-integrated obstacle (trees, rocks, etc.) of the caster's choice from the battlefield.
"	"{Advanced Remove Obstacle}

Removes any normal non-integrated obstacle (trees, rocks, etc.) or Fire Wall of the caster's choice from the battlefield.
"	"{Expert Remove Obstacle}

Removes any normal non-integrated or magical obstacle of the caster's choice from the battlefield.
"	 COMBAT_SPELL|OBSTACLE_TARGET
Clone	Clone	4	 	x	 	 	24	20	20	20	0	5	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{Clone}

Creates a temporary duplicate of the selected friendly unit stack.  The image is dispelled if it is damaged or if prototype dies. Each unit may have only one clone. Does not affect War Machines. Clone is alive for number of rounds equal to hero Spell Power.

Clones creatures of levels 1-5.
"	"{Basic Clone}

Creates a temporary duplicate of the selected friendly unit stack.  The image is dispelled if it is damaged or if prototype dies. Each unit may have only one clone. Does not affect War Machines. Clone is alive for number of rounds equal to hero Spell Power.

Clones creatures of levels 1-5.
"	"{Advanced Clone}

Creates a temporary duplicate of the selected friendly unit stack.  The image is dispelled if it is damaged or if prototype dies. Each unit may have only one clone. Does not affect War Machines. Clone is alive for number of rounds equal to hero Spell Power.

Clones creatures of levels 1-6.
"	"{Expert Clone}

Creates a temporary duplicate of the selected friendly unit stack.  The image is dispelled if it is damaged or if prototype dies. Each unit may have only one clone. Does not affect War Machines. Clone is alive for number of rounds equal to hero Spell Power.

Clones creatures of any level.
"	 COMBAT_SPELL|CREATURE_TARGET
Fire Elemental	Fire Elemental	5			x		25	20	20	20	0	2	2	3	4	0	0	0	16	0	12	0	0	12	50	50	100	150	"{Summon Fire Elemental}

Allows you to summon (Spell Power x 2) fire elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Basic Summon Fire Elemental}

Allows you to summon (Spell Power x 2) fire elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Advanced Summon Fire Elemental}

Allows you to summon (Spell Power x 3) fire elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Expert Summon Fire Elemental}

Allows you to summon (Spell Power x 4) fire elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	 COMBAT_SPELL
Earth Elemental	Earth Elemental	5	x				25	20	20	20	0	2	2	3	4	0	16	14	16	16	12	0	0	12	50	50	100	150	"{Summon Earth Elemental}

Allows you to summon (Spell Power x 2) earth elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Basic Summon Earth Elemental}

Allows you to summon (Spell Power x 2) earth elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Advanced Summon Earth Elemental}

Allows you to summon (Spell Power x 3) earth elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Expert Summon Earth Elemental}

Allows you to summon (Spell Power x 4) earth elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	 COMBAT_SPELL
Water Elemental	Water Elemental	5		x			25	20	20	20	0	2	2	3	4	0	16	14	0	0	12	0	0	12	50	50	100	150	"{Summon Water Elemental}

Allows you to summon (Spell Power x 2) water elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Basic Summon Water Elemental}

Allows you to summon (Spell Power x 2) water elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Advanced Summon Water Elemental}

Allows you to summon (Spell Power x 3) water elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Expert Summon Water Elemental}

Allows you to summon (Spell Power x 4) water elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	 COMBAT_SPELL
Air Elemental	Air Elemental	5				x	25	20	20	20	0	2	2	3	4	0	0	14	0	16	0	0	0	12	50	50	100	150	"{Summon Air Elemental}

Allows you to summon (Spell Power x 2) air elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Basic Summon Air Elemental}

Allows you to summon (Spell Power x 2) air elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Advanced Summon Air Elemental}

Allows you to summon (Spell Power x 3) air elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	"{Expert Summon Air Elemental}

Allows you to summon (Spell Power x 4) air elementals on the random position of your edge of the battlefield. Elementals will serve you until the end of the battle. Once cast, no other elemental types may be summoned in that battle.
"	 COMBAT_SPELL
																																	
Creature Abilities																																	
																																	
Stone Gaze	Stone Gaze	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Poison	Poison	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Bind	Bind	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Disease	Disease	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Paralyze	Paralyze	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Age	Age	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Death Cloud	Death Cloud	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Thunderbolt	Thunderbolt	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Dispel Helpful Spells	Dispel Helpful Spells	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Death Stare	Death Stare	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Acid Breath	Acid Breath	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
